k,ndcg,ndcg_se,precision,precision_se,recall,recall_se,Model
5,0.4317283236070818,0.0872213368026117,0.4000000000000001,0.0852802865422441,0.1602543743692069,0.0352322864952567,VAR
10,0.4135315111734076,0.0724321253060657,0.3272727272727272,0.0727272727272727,0.2314649465367169,0.0518816886276534,VAR
15,0.3972873869623336,0.0640792007764095,0.2787878787878788,0.0671607038894306,0.2807972463474856,0.06368291044646,VAR
20,0.4118418690977644,0.0649285339305149,0.2636363636363636,0.0694428833617007,0.3204356869428639,0.072187741639263,VAR
5,0.0567522186156135,0.0200345130495314,0.0727272727272727,0.040655781409087,0.0391031527395163,0.0361501636503588,Raw Acc.
10,0.0675454136233466,0.0253100646970389,0.0727272727272727,0.0304240009648754,0.0647012388639182,0.0402288764572316,Raw Acc.
15,0.0729908082897518,0.0273906998277963,0.0545454545454545,0.0197319037528481,0.0697517439144233,0.0397305337938612,Raw Acc.
20,0.0764870925707607,0.0272408462162134,0.0409090909090909,0.014798927814636,0.0697517439144233,0.0397305337938612,Raw Acc.
5,0.2748647047994637,0.08380295696394,0.2545454545454546,0.0813115628181741,0.072429236544069,0.0265765747196131,HITS
10,0.2655621759089278,0.0603267301968451,0.2181818181818182,0.0569180939727219,0.1589982231130556,0.0428625837365115,HITS
15,0.2346094300371384,0.0469043562289857,0.1636363636363636,0.0395567730232259,0.1701234615110213,0.0423834375873658,HITS
20,0.2312323658858648,0.044260615340488,0.1454545454545454,0.0359637098997317,0.1784346435064138,0.0408775625204189,HITS
5,0.2023504406336622,0.0527502886904164,0.1818181818181818,0.0422507274131718,0.0993568366774108,0.0391173264613131,Dawid-Skene
10,0.230593534382193,0.053110659206454,0.1727272727272727,0.0359062139238754,0.1536975783387266,0.0341610418743035,Dawid-Skene
15,0.2613441169735488,0.0548318873740302,0.1939393939393939,0.0396495205667784,0.2561999050037327,0.0727985449148824,Dawid-Skene
20,0.2795249431564038,0.05490118429062,0.1772727272727272,0.0339542716308783,0.2971012595414509,0.0739744790758131,Dawid-Skene
5,0.1510565763976269,0.0663155240107083,0.1272727272727272,0.0557443989700214,0.0338311343096032,0.0224571514665837,IRT-1PL
10,0.155935094377793,0.0585634155423983,0.1272727272727273,0.0487869376909044,0.058205546004589,0.0248366092203951,IRT-1PL
15,0.1550671695625169,0.0504166789739686,0.1212121212121212,0.0379453959818146,0.0789960172735292,0.0231008901404677,IRT-1PL
20,0.1693856830233529,0.0428590612318064,0.1227272727272727,0.0318830507577276,0.1295397319320764,0.0257845165264741,IRT-1PL
5,0.181889322331592,0.0812635455682868,0.1636363636363636,0.075405241284828,0.0470615243342516,0.0270852668880529,IRT-2PL
10,0.1714325827432786,0.0649631944686675,0.1363636363636363,0.0543937283696421,0.0664845078720676,0.0276394125471884,IRT-2PL
15,0.1957843466333749,0.056711079519061,0.1575757575757575,0.050270160856552,0.1307479867288479,0.0330527806124824,IRT-2PL
20,0.209382543060312,0.049190079180545,0.15,0.0404519917477945,0.1791724224738578,0.0386549346275908,IRT-2PL
5,0.2995230948341724,0.0838796530523595,0.2727272727272727,0.0727272727272727,0.0786956796526174,0.0364757405710076,PageRank
10,0.2953022901032459,0.063918812011174,0.2363636363636363,0.047237749297333,0.1803726222386509,0.0547182227996265,PageRank
15,0.2901608971550958,0.0610379892037982,0.2121212121212121,0.0499034881217912,0.2161474357646606,0.057787050126228,PageRank
20,0.3066896691549496,0.0558113956277756,0.209090909090909,0.0475863721029178,0.2585487523286566,0.0489028099149942,PageRank
5,0.348923045534837,0.0921225067360457,0.3272727272727273,0.0821206530228088,0.0996170142103156,0.0367155601366003,Volume
10,0.3250274489691484,0.0734280920029553,0.2727272727272727,0.0573520374385,0.1882766533484236,0.0533227476697414,Volume
15,0.3237631873343239,0.0668590744761534,0.2484848484848485,0.0583205416907607,0.2246717043367761,0.0534277411320827,Volume
20,0.3377401862780619,0.0611379412272341,0.2318181818181818,0.0565173856086165,0.2577115246971706,0.0544412649083592,Volume
5,0.1726345014953508,0.0451608870564208,0.1636363636363636,0.0526959154406888,0.1115312120096809,0.0553220006114323,Min. Prec.
10,0.1734323544645347,0.0462518520142869,0.1454545454545454,0.0412611117014916,0.1376239390593457,0.0548414550624849,Min. Prec.
15,0.1871546224097425,0.0466963532738402,0.1393939393939393,0.0317242480686118,0.1812193831332587,0.0622530788839793,Min. Prec.
20,0.2363129349624477,0.0489608561321174,0.1454545454545454,0.0247299463795189,0.2859740383663828,0.0764560431457281,Min. Prec.
5,0.1057771786966867,0.0602980427799382,0.0909090909090909,0.0494598927590379,0.0271664008506113,0.0171751732555996,Random
10,0.1095158716313456,0.0567592676388533,0.1,0.0539359889970593,0.039120873809869,0.0171194943063729,Random
15,0.1388803975403688,0.0418424141001021,0.1151515151515151,0.0382346916256666,0.1332694684369325,0.0292576490108147,Random
20,0.1455428680872434,0.04117706847801,0.1045454545454545,0.0372061489630565,0.1633218721735468,0.041013839018129,Random
